No.,Year of Incorporated,Industry,Paid-up Capital,Loan Status,Loan Amount,Loan Tenure,Non-Current Assets 2018,Non-Current Assets 2019,Current Assets 2018,Current Assets 2019,Total Assets 2018,Total Assets 2019,Current Liabilities 2018,Current Liabilities 2019,Total Liabilities 2018,Total Liabilities 2019,Share Capital 2018,Share Capital 2019,Retained Earnings 2018,Retained Earnings 2019,Networth 2018,Networth 2019,Revenue 2018,Revenue 2019,NPBT 2018,NPBT 2019,NPAT 2018,NPAT 2019
538,1996,TRADING & WHOLESALE,"350,002",GOOD,"133,984",36,"1,482,229","1,317,542","5,143,477","4,924,231","6,625,706","6,241,773","2,178,973","1,816,677","2,316,258","1,971,675","250,002","250,002","4,059,446","4,020,096","4,309,448","4,270,098","11,338,738","11,542,525","176,038","-32,346","167,689","-39,350"
539,2004,TRADING & WHOLESALE,"2,500,000",GOOD,"976,000",36,"11,833,596","14,928,600","8,176,367","9,622,620","20,009,963","24,551,220","10,485,554","13,970,893","17,416,865","21,930,334","1,002,000","1,002,000","1,591,098","1,618,886","2,593,098","2,620,886","52,828,863","58,635,874","302,883","143,956","92,350","27,788"
540,1989,TRADING & WHOLESALE,"650,000",GOOD,"172,400",36,"2,110,567","2,102,008","6,164,657","6,532,105","8,275,224","8,634,113","6,519,084","6,233,836","8,122,491","8,617,544","650,000","650,000","-497,267","-633,431","152,733","16,569","7,333,580","9,751,454","-709,732","-95,350","-605,406","-136,164"
541,2010,TRADING & WHOLESALE,"501,000",GOOD,"647,100",60,"758,785","572,643","3,228,526","1,807,758","3,987,311","2,380,401","3,718,930","3,276,210","4,161,560","3,592,277","501,000","501,000","-675,249","-1,712,876","-174,249","-1,211,876","15,658,336","8,462,621","-149,652","-1,037,627","-149,652","-1,037,627"
542,2011,TRADING & WHOLESALE,"1,380,000",GOOD,"90,000",42,"988,181","1,448,125","2,204,393","1,974,935","3,192,574","3,423,060","1,279,345","1,248,945","1,536,515","1,541,427","270,000","270,000","1,386,059","1,611,633","1,656,059","1,881,633","8,558,855","9,470,870","-73,653","305,924","301,813","225,574"
543,2008,TRADING & WHOLESALE,"1,000,000",GOOD,"11,038",60,"4,230,554","4,161,539","5,467,061","5,532,583","9,697,615","9,694,122","5,165,845","4,952,432","5,223,659","4,974,747","1,000,000","1,000,000","1,554,126","1,799,545","4,473,956","4,719,375","7,785,190","6,972,500","719,366","365,771","529,185","245,419"
544,2014,TRADING & WHOLESALE,"100,000",GOOD,"68,000",36,"105,292","78,014","1,623,058","1,662,582","1,728,350","1,740,597","1,407,884","840,283","1,414,127","1,360,614","100,000","100,000","214,224","279,983","314,224","379,983","4,841,168","4,877,550","195,086","89,647","152,563","65,759"
545,2009,TRADING & WHOLESALE,"1,000,001",GOOD,"45,000",24,"786,684","669,969","3,827,180","4,670,285","4,613,864","5,340,255","3,292,258","3,887,769","3,479,460","4,038,306","1,000,000","1,000,000","134,404","301,949","1,134,404","1,301,949","13,919,383","13,115,947","126,139","239,958","83,969","167,545"
546,2004,TRADING & WHOLESALE,"1,000,001",GOOD,"73,273",36,"1,664,164","2,587,288","2,379,569","2,992,090","4,043,733","5,579,378","2,092,467","3,350,786","3,312,272","4,750,079","500,000","500,000","231,461","329,299","731,461","829,299","5,225,814","6,105,361","127,009","160,527","76,649","97,838"
547,2007,TRADING & WHOLESALE,"650,001",GOOD,"14,797",59,"1,051,193","2,340,526","1,224,280","1,021,555","2,275,473","3,362,081","1,282,872","1,438,481","1,680,726","2,817,517","650,000","650,000","-55,253","-105,436","594,747","544,564","5,675,254","4,335,101","-44,953","4,451","-45,066","-50,183"
548,2001,TRADING & WHOLESALE,"1,500,001",GOOD,"150,000",24,"4,738,661","8,045,329","2,382,639","2,581,004","7,121,300","10,626,333","1,410,417","2,485,723","3,104,147","5,213,854","1,500,000","1,500,000","2,517,153","3,912,479","4,017,153","5,412,479","7,744,028","7,974,957","1,076,806","1,907,234","763,134","1,395,326"
549,2003,TRADING & WHOLESALE,"554,751",GOOD,"99,036",36,"251,211","828,811","5,781,480","7,046,986","6,032,691","7,875,797","2,118,000","3,814,118","2,190,896","3,864,829","554,750","554,750","3,287,045","3,456,218","3,841,795","4,010,968","36,207,658","37,809,294","913,722","501,412","649,152","335,598"
550,2007,TRADING & WHOLESALE,"250,001",GOOD,"157,000",36,"325,029","757,286","865,345","1,081,063","1,190,374","1,838,349","931,129","894,142","1,017,136","1,531,813","150,000","250,000","23,238","56,536","173,238","306,536","1,141,519","1,824,305","31,027","46,811","49,597","33,298"
551,2010,TRADING & WHOLESALE,"389,001",GOOD,"13,324",59,"203,403","204,933","526,357","2,467,657","729,760","2,672,589","573,576","2,395,595","585,205","2,411,874","100,000","100,000","44,554",n.a.,"144,554","260,716","2,386,086","5,287,087","19,474","152,211","14,400","116,161"
552,2011,TRADING & WHOLESALE,"810,001",GOOD,"160,500",60,"192,331","207,389","990,197","2,160,667","1,182,528","2,368,056","900,097","1,807,804","1,060,560","2,003,853",100,"100,000","121,868","264,203","121,968","364,203","4,080,288","5,608,306","156,376","194,622","121,868","142,335"
553,2003,TRADING & WHOLESALE,"300,003",GOOD,"426,000",48,"96,795","321,490","442,581","646,684","539,376","968,174","572,399","999,424","572,399","999,424","300,002","300,002","-333,025","-331,252","-33,023","-31,250","2,639,908","3,157,529","-97,260","11,031","-97,260","1,773"
554,2008,TRADING & WHOLESALE,"2,000,001",GOOD,"24,440",60,"1,008,925","896,478","9,218,712","12,862,411","10,227,637","13,758,889","7,405,370","11,126,990","8,416,078","11,850,874","1,000,000","1,000,000","795,690","892,146","1,795,690","1,892,146","19,884,686","23,844,962","338,930","153,956","259,799","96,456"
555,1995,TRADING & WHOLESALE,"1,000,001",GOOD,"14,801",60,"51,931","39,406","3,267,096","3,809,587","3,319,027","3,848,993","471,186","621,303","478,186","626,988","1,000,000","1,000,000",n.a.,n.a.,"2,840,841","3,222,005","5,024,025","6,329,135","432,225","478,296","341,264","381,164"
556,2002,TRADING & WHOLESALE,"450,001",GOOD,"192,000",36,n.a.,n.a.,"477,799","1,576,247","477,799","1,576,247","210,107","438,059","210,107","988,043","250,000","450,000","17,692","138,204","267,692","588,204","126,000","342,782","5,441","154,127","4,001","120,512"
557,1999,CONSTRUCTION ,"1,000,000",BAD,"170,000",24,"302,833","318,839","2,870,893","3,793,809","3,173,726","4,112,648","1,282,010","1,952,036","1,522,914","2,195,332","1,000,000","1,000,000","650,812","917,316","1,650,812","1,917,316","2,904,952","13,087,232","72,448","385,504","39,448","266,504"
558,1995,BUSINESS SERVICES ,"5,000,000",BAD,"62,106",59,"6,681,816","5,785,665","38,922,479","18,949,813","45,604,295","24,735,478","39,641,472","15,825,228","39,975,472","16,215,364","2,583,000","2,583,000","3,045,823","3,520,114","5,628,823","8,520,114","28,605,193","30,714,801","500,757","790,415","412,400","474,291"
559,1994,LAND TRANSPORT ,"500,002",BAD,"520,000",36,"10,879","560,152","5,968,075","6,188,689","5,978,954","6,748,841","7,252,051","8,635,625","7,253,092","8,911,152","500,000","500,000","-1,774,138",n.a.,"-1,274,138","-2,162,311","3,621,090","2,965,727",n.a.,n.a.,"-767,693","-888,173"
560,2004,BUSINESS SERVICES ,"1,000,002",BAD,"16,501",59,"88,087","80,737","909,370","1,059,616","997,457","1,140,353","840,194","1,097,987","842,636","1,097,987","50,000","50,000","104,821","-7,634","154,821","42,366","2,304,397","2,365,861","404,166","-114,897","338,687","-112,455"
561,1996,LAND TRANSPORT ,"50,000,002",BAD,"26,502",60,"30,046,537","44,838,755","168,138,482","193,235,633","198,185,019","238,074,388","81,197,185","113,044,131","86,189,179","120,681,972","50,000,000","50,000,000","60,595,038","65,881,351","111,995,840","117,392,416","326,799,024","289,019,089","51,584,359","19,886,623","37,894,996","14,661,313"
562,2003,BUSINESS SERVICES ,"1,000,002",BAD,"49,164",59,"773,963","966,396","981,877","1,421,671","1,755,840","2,388,067","310,395","376,310","693,784","1,265,815","500,000","500,000","562,056","622,252","1,062,056","1,122,252","4,223,088","4,526,353","168,566","105,172","120,802","60,196"
563,1991,BUSINESS SERVICES ,"46,876,002",BAD,"7,817",59,"90,547,573","93,735,884","61,002,218","89,222,744","151,549,791","182,958,628","66,610,145","138,122,781","98,184,798","138,859,288","46,876,000","46,876,000","5,091,089","-4,174,564","53,364,993","44,099,340","14,222,012","31,417,412","-6,175,240","-9,265,653","-5,680,273","-9,265,653"
564,1997,CONSTRUCTION ,"100,004",BAD,"144,000",24,"557,616","502,914","2,499,170","3,926,631","3,056,786","4,429,545","2,404,235","3,701,522","2,501,729","3,775,680","100,002","100,002","455,055","553,863","555,057","653,865","3,511,000","2,689,177","-283,423","127,574","-233,000","98,808"
565,1996,CONSTRUCTION ,"3,000,002",BAD,"59,888",59,"29,049,742","29,623,625","32,045,092","56,077,964","61,094,834","85,701,589","57,451,251","84,246,027","57,747,218","84,402,820","3,000,000","3,000,000","390,031","-1,658,816","3,390,031","1,341,184","6,811,557","12,646,695","-514,003","-2,048,847","-568,746","-2,048,847"
566,2007,LAND TRANSPORT ,"600,002",BAD,"400,000",60,"2,507,303","2,650,071","45,746","323,336","2,553,049","2,973,407","2,459,756","2,459,732","2,459,756","2,805,851","50,000","200,000","43,293","-32,444","93,293","167,556","1,068,207","1,100,424","25,144","-73,737","25,144","-75,737"
567,2002,BUSINESS SERVICES ,"10,000,005",BAD,"28,568",60,"10,227,794","14,528,856","4,632,997","161,048","14,860,791","14,689,904","1,164,329","1,684,669","5,897,126","6,600,879","10,000,003","10,000,003","-1,036,338","-1,910,978","8,963,665","8,089,025","125,000","149,090","-439,629","-874,640","-377,676","-874,640"
568,2005,BUSINESS SERVICES ,"100,002",BAD,"163,836",60,"5,675","2,494","1,570,581","1,981,288","1,576,256","1,983,782",n.a.,"1,357,919","1,417,900","1,793,550","100,000","100,000","58,356","90,232","158,356","190,232","3,480,269","3,126,763","22,821","23,276","18,821","31,876"
569,2005,BUSINESS SERVICES ,"500,002",BAD,"43,499",36,"1,163,916","1,170,955","33,648,833","57,455,362","34,812,749","58,626,317","33,386,335","55,682,896","33,597,307","55,682,896","500,000","500,000","715,442","2,443,421","1,215,442","2,943,421","9,343,586","27,827,319","409,363","1,844,648","165,753","1,727,979"
570,1999,BUSINESS SERVICES ,"200,002",GOOD,"7,336",59,"93,888","125,224","822,864","1,209,979","916,752","1,335,203","666,453","1,023,352","666,453","1,089,376","200,000","200,000","50,299","45,827","250,299","245,827","9,143,269","7,373,766","-29,272","10,242","-36,106","-4,472"
571,2003,BUSINESS SERVICES ,"700,002",GOOD,"275,000",48,"655,778","408,780","2,285,718","2,369,325","2,941,496","2,778,105","2,161,026","2,257,984","2,357,974","2,442,993","700,000","700,000","-116,478","-364,888","583,522","335,112","5,089,701","2,514,870","41,934","-246,379","18,706","-248,410"
572,2004,BUSINESS SERVICES ,"550,004",GOOD,"230,000",36,n.a.,"271,946","2,649,456","2,102,126","2,649,456","2,374,072","2,262,334","2,169,975","2,262,334","2,169,975","550,002","550,002","-162,880","-345,905","387,122","204,097","3,326,713","667,341","-613,322","-183,025","-656,371","-183,025"
573,1995,BUSINESS SERVICES ,"1,000,000",GOOD,"60,000",36,"1,269,702","1,142,823","504,037","531,449","1,773,739","1,674,272","1,817,920","1,860,671","2,339,797","2,368,275","1,000,000","1,000,000","-1,566,058","-1,694,003","-566,058","-694,003","1,273,464","1,283,288","-21,792","-122,338","-225,552","-127,945"
574,2000,BUSINESS SERVICES ,"200,002",GOOD,"512,000",36,"320,193","489,769","2,872,815","3,007,347","3,193,008","3,497,116","2,635,024","2,877,586","2,799,405","3,117,270","200,002","200,002","193,601","179,844","393,603","379,846","9,038,476","11,856,216","109,562","23,167","31,225","-13,757"
575,1999,BUSINESS SERVICES ,"500,000",GOOD,"153,000",36,"235,247","465,023","827,096","737,119","1,062,343","1,202,142","928,107","1,005,276","1,312,945","1,453,565","260,000","260,000","-510,602","-511,423","-250,602","-251,423","2,022,156","2,209,544","8,094","8,833","-1,515",-821
576,1990,BUSINESS SERVICES ,"5,000,000",GOOD,"84,681",59,"5,998,721","6,600,420","29,123,138","29,916,542","35,121,859","36,516,962","21,518,913","20,921,016","22,757,416","21,973,809","5,000,000","5,000,000","7,364,443","9,543,153","12,364,443","14,543,153","29,828,620","26,739,923","1,803,982","1,947,539","1,687,904","2,178,710"
577,1995,BUSINESS SERVICES ,"175,000",GOOD,"17,150",59,"12,887","101,931","1,915,285","1,849,816","1,928,172","1,951,747","80,757","127,461","80,757","127,461","175,000","175,000","1,672,415","1,649,286","1,847,415","1,824,286","5,826,509","5,306,313","2,064,992","1,595,315","1,579,085","1,226,871"
578,2009,BUSINESS SERVICES ,"50,000",GOOD,"424,000",36,"954,697","720,672","553,047","658,278","1,507,744","1,378,950","1,284,796","1,324,711","1,634,389","1,549,903",100,"50,000","-126,745","-220,953","-126,645","-170,953","1,439,697","1,588,496","-100,136","-109,738","-155,432","-94,208"
579,2001,BUSINESS SERVICES ,"918,001",GOOD,"331,000",30,"877,227","1,927,182","1,414,048","859,178","2,291,275","2,786,360","1,082,199","1,547,072","1,389,809","1,805,894","613,000","613,000","288,466","367,466","901,466","980,466","2,683,218","3,877,097","182,195","106,434","152,835","79,000"
580,1990,BUSINESS SERVICES ,"1,000,001",GOOD,"165,708",36,"877,286","3,914,428","6,843,073","8,750,872","7,720,359","12,665,300","7,162,636","7,865,458","8,322,120","9,704,269","650,000","650,000","-1,251,761","1,961,031","-601,761","2,961,031","6,605,906","11,686,158","305,025","3,406,492","229,025","3,212,792"
581,2007,BUSINESS SERVICES ,"250,002",GOOD,"41,600",24,n.a.,"4,292","170,198","210,716","170,198","215,008","125,694","145,311","125,694","145,896",2,2,"44,502","69,110","44,504","69,112","159,932","139,749","55,838","31,351","44,502","24,608"
582,1982,BUSINESS SERVICES ,"100,002",GOOD,"23,884",59,"118,891","115,142","586,386","460,609","705,277","575,751",n.a.,"579,341","716,278","582,641","46,000","46,000","-57,001","-52,890","-11,001","-6,890","1,276,557","1,247,939","7,522","8,467","2,305","4,111"
583,1987,BUSINESS SERVICES ,"800,002",GOOD,"133,440",60,"622,214","774,857","12,279","52,446","634,493","827,303","3,100,193","3,081,924","3,139,576","3,274,552","150,000","150,000","-2,655,083","-2,597,249","-2,505,083","-2,447,249","508,181","544,126","44,002","57,834","44,002","57,834"
584,1985,CONSTRUCTION ,"750,002",GOOD,"20,846",59,"1,291,250","2,553,222","14,209,159","12,827,905","15,500,409","15,381,127","5,159,655","8,030,495","5,195,655","8,030,495","750,000","750,000","9,554,754","6,600,632","10,304,754","7,350,632","23,749,749","27,982,134","2,022,406","884,282","1,391,439","576,784"
585,2004,CONSTRUCTION ,"820,002",GOOD,"24,319",59,"230,460","391,012","1,369,788","1,437,311","1,600,248","1,828,323","601,319","838,525","768,033","1,016,978","820,000","820,000","12,215","-8,655","832,215","811,345","2,146,238","5,120,832",928,"-19,870","-2,472","-20,870"
586,1997,CONSTRUCTION ,"1,200,002",GOOD,"624,000",46,"298,782","324,896","346,569","380,141","645,352","705,037","900,160","1,019,845","971,558","1,061,535","750,000","750,000","-1,076,207","-1,106,499","-326,207","-356,499","896,624","1,267,881","-43,120","-39,384","-44,962","-30,292"
587,1982,CONSTRUCTION ,"2,500,002",GOOD,"884,000",36,"6,155,357","8,379,117","8,050,072","14,554,114","14,205,429","22,933,231","8,867,247","14,587,594","10,138,771","18,065,363","1,000,000","1,000,000","3,066,658","3,867,868","4,066,658","4,867,868","23,204,713","26,649,815","529,036","1,071,779","346,519","801,210"
588,1995,CONSTRUCTION ,"1,000,000",GOOD,"417,930",36,"971,168","3,434,449","25,175,974","25,003,899","26,147,142","28,438,348","15,100,681","16,361,081","15,293,522","16,763,213","1,000,000","1,000,000","9,853,620","10,675,135","10,853,620","11,675,135","49,153,682","30,067,099","1,152,974","1,254,198","869,503","921,515"
589,2001,CONSTRUCTION ,"2,000,000",GOOD,"650,000",42,"1,361,217","2,295,241","12,256,140","12,057,643","13,617,357","14,352,884","11,678,301","10,392,749","11,965,504","11,231,133","1,000,000","1,000,000","651,853","2,121,751","1,651,853","3,121,751","18,965,357","36,315,469","522,454","2,153,051","359,805","1,469,898"
590,2004,CONSTRUCTION ,"1,000,000",GOOD,"238,000",36,"475,050","439,340","743,583","638,279","1,218,633","1,077,619","447,871","142,913","447,871","142,913","1,000,000","1,000,000","-229,238","-65,294","770,762","934,706","6,244,052","3,430,250","108,073","163,944","108,073","163,944"
591,2004,CONSTRUCTION ,"750,002",GOOD,"65,500",24,"499,467","425,815","1,938,374","3,691,453","2,437,841","4,117,268","1,759,775","3,147,257","1,794,932","3,333,265","280,002","280,002","362,907","504,001","642,909","784,003","10,938,613","6,254,247","261,071","204,912","194,818","141,094"
592,1991,CONSTRUCTION ,"850,001",GOOD,"138,000",30,"1,571,035","1,848,641","3,213,717","5,437,695","4,784,752","7,286,336","3,691,830","5,537,687","4,130,720","6,341,831","750,000","750,000","-95,968","194,505","654,032","944,505","16,671,276","27,048,743","498,375","376,945","472,775","290,473"
593,2003,CONSTRUCTION ,"2,500,000",GOOD,"9,199",60,"207,514","189,556","6,204,260","6,818,169","6,411,774","7,007,725","4,871,451","5,436,514","4,890,111","5,455,945","1,000,000","1,000,000","521,663","551,780","1,521,663","1,551,780","6,154,653","5,219,868","683,499","58,549","620,240","30,117"
594,2000,CONSTRUCTION ,"1,000,000",GOOD,"738,960",48,"39,578,205","24,413,704","23,380,342","35,409,901","62,958,547","59,823,605","40,274,216","47,851,348","48,345,260","47,851,348","1,000,000","1,000,000","13,613,287","10,972,257","14,613,287","11,972,257","16,432,959","4,419,772","1,186,980","-2,141,919","774,274","-2,641,030"
595,2006,CONSTRUCTION ,"750,000",GOOD,"553,000",36,"496,222","949,497","2,332,906","3,313,924","2,829,128","4,263,421","2,465,074","3,344,967","2,603,399","3,810,173","100,000","100,000","125,729","353,248","225,729","453,248","2,809,382","10,416,955","80,497","320,457","49,999","227,521"
596,1981,CONSTRUCTION ,"823,308",GOOD,"793,000",24,"1,112,939","2,645,143","14,652,420","26,842,994","15,765,359","29,488,137","12,043,257","23,702,174","12,369,427","25,237,497","823,308","823,308","2,572,624","3,427,332","3,395,932","4,250,640","47,334,468","83,722,216","535,302","1,031,076","405,966","854,708"
597,2007,CONSTRUCTION ,"1,500,000",GOOD,"415,000",24,"582,993","887,093","2,058,833","1,971,957","2,641,826","2,859,050","2,061,656","2,240,120","2,225,896","2,355,272","250,000","250,000","165,930","253,778","415,930","503,778","4,964,000","4,706,746","101,319","111,736","77,594","87,847"
598,1999,LAND TRANSPORT ,"500,001",GOOD,"200,000",48,"2,090,239","1,830,415","513,595","681,974","2,603,834","2,512,389","1,049,961","1,088,288","2,012,278","1,778,661","500,000","500,000","91,556","233,728","591,556","733,728","2,139,037","1,996,180","121,261","122,921","26,261","142,172"
599,1994,LAND TRANSPORT ,"2,500,001",GOOD,"1,160,000",43,"713,801","1,009,503","1,041,577","1,032,864","1,755,378","2,042,367","1,115,398","1,245,929","1,150,398","1,598,228","1,000,000","1,000,000","-395,020","-555,861","604,980","444,139","4,202,335","4,345,966","369,610","-158,593","281,120","-160,841"
